task	split_type	embedding_method	feature_type	auprc	auroc	hits_at_10	mrr	notes
GEN-ass-DIS	edge	spectral	hadamard_absdiff					
GEN-ass-DIS	edge	node2vec	hadamard_absdiff					
GEN-ass-DIS	edge	hin2vec	hadamard_absdiff					
GEN-ass-DIS	edge	gae	hadamard_absdiff					
GEN-ass-DIS	edge	gatae	hadamard_absdiff					
GEN-ass-TIS	edge	spectral	hadamard_absdiff					
GEN-ass-TIS	edge	node2vec	hadamard_absdiff					
GEN-ass-TIS	edge	hin2vec	hadamard_absdiff					
GEN-ass-TIS	edge	gae	hadamard_absdiff					
GEN-ass-TIS	edge	gatae	hadamard_absdiff					
GEN-ass-PWY	edge	spectral	hadamard_absdiff					
GEN-ass-PWY	edge	node2vec	hadamard_absdiff					
GEN-ass-PWY	edge	hin2vec	hadamard_absdiff					
GEN-ass-PWY	edge	gae	hadamard_absdiff					
GEN-ass-PWY	edge	gatae	hadamard_absdiff					
CPD-trt-DIS	edge	spectral	hadamard_absdiff					
CPD-trt-DIS	edge	node2vec	hadamard_absdiff					
CPD-trt-DIS	edge	hin2vec	hadamard_absdiff					
CPD-trt-DIS	edge	gae	hadamard_absdiff					
CPD-trt-DIS	edge	gatae	hadamard_absdiff					
CPD-int-GEN	edge	spectral	hadamard_absdiff					
CPD-int-GEN	edge	node2vec	hadamard_absdiff					
CPD-int-GEN	edge	hin2vec	hadamard_absdiff					
CPD-int-GEN	edge	gae	hadamard_absdiff					
CPD-int-GEN	edge	gatae	hadamard_absdiff					
GEN-ppi-GEN	edge	spectral	hadamard_absdiff					
GEN-ppi-GEN	edge	node2vec	hadamard_absdiff					
GEN-ppi-GEN	edge	hin2vec	hadamard_absdiff					
GEN-ppi-GEN	edge	gae	hadamard_absdiff					
GEN-ppi-GEN	edge	gatae	hadamard_absdiff					
CLL-mut-GEN	edge	spectral	hadamard_absdiff					
CLL-mut-GEN	edge	node2vec	hadamard_absdiff					
CLL-mut-GEN	edge	hin2vec	hadamard_absdiff					
CLL-mut-GEN	edge	gae	hadamard_absdiff					
CLL-mut-GEN	edge	gatae	hadamard_absdiff					
GEN-ass-DIS	node_strict	spectral	hadamard_absdiff					
GEN-ass-DIS	node_strict	node2vec	hadamard_absdiff					
GEN-ass-DIS	node_strict	hin2vec	hadamard_absdiff					
GEN-ass-DIS	node_strict	gae	hadamard_absdiff					
GEN-ass-DIS	node_strict	gatae	hadamard_absdiff					
